name,latitude,longitude,date
Vanessa atalanta,52.216944,-113.7875,2016-07-16
Vanessa atalanta,36.821025,-121.728847,2016-07-15
Vanessa atalanta,37.770363,-122.464195,2016-07-18
Vanessa atalanta,36.502438,-121.15483,2016-04-02
Vanessa atalanta,33.955853,-118.386859,2016-07-19
Vanessa atalanta,25.243745,-100.839343,2015-07-23
Vanessa atalanta,19.678151,-101.305532,2015-07-27
Vanessa atalanta,40.68,-105.387778,2016-07-15
Vanessa atalanta,37.766155,-122.467767,2016-07-23
Vanessa atalanta,37.50719,-122.481912,2016-07-21
Vanessa atalanta,36.495945,-121.152803,2016-06-22
Vanessa atalanta,38.611987,-122.782051,2016-07-25
Vanessa atalanta,37.786647,-122.475764,2016-07-26
Vanessa atalanta,37.764659,-122.459364,2016-07-28
Vanessa atalanta,37.72013,-122.456862,2016-07-29
Vanessa atalanta,37.765317,-122.453942,2016-07-29
Vanessa atalanta,37.797195,-122.26022,2016-07-30
Vanessa atalanta,40.865002,-124.088333,2016-07-31
Vanessa atalanta,37.797163,-122.260133,2016-07-30
Vanessa atalanta,39.300414,-123.752513,2017-03-14
Vanessa atalanta,39.300414,-123.752513,2016-05-08
Vanessa atalanta,40.577788,-105.182158,2016-07-02
Vanessa atalanta,38.544946,-121.503646,2017-07-12
Vanessa atalanta,38.54491,-121.503738,2017-07-12
Vanessa atalanta,44.605829,-123.384906,2017-09-15
Vanessa atalanta,33.900106,-118.360439,2018-02-07
Vanessa atalanta,37.888867,-121.932943,2018-02-10
Vanessa atalanta,37.884701,-121.915482,2018-02-08
Vanessa atalanta,34.054694,-118.517861,2018-02-18
Vanessa atalanta,37.870146,-121.924394,2018-02-16
Vanessa atalanta,34.131993,-118.972701,2015-03-04
Vanessa atalanta,33.780181,-118.332069,2018-02-22
Vanessa atalanta,25.796147,-100.238408,2018-02-18
Vanessa atalanta,38.538427,-121.746978,2018-02-02
Vanessa atalanta,37.759217,-122.44812,2018-12-08
Vanessa atalanta,37.748184,-122.404954,2018-11-24
Vanessa atalanta,33.040778,-100.493166,2018-12-09
Vanessa atalanta,33.80564,-118.087076,2018-12-11
Vanessa atalanta,29.106359,-103.909925,2018-12-08
Vanessa atalanta,44.068859,-123.232899,2016-04-16
Vanessa atalanta,33.552627,-101.867092,2018-09-17
Vanessa atalanta,37.760159,-122.413303,2017-09-08
Vanessa atalanta,37.73315,-122.419922,2018-09-22
Vanessa atalanta,40.819104,-111.811889,2018-09-22
Vanessa atalanta,40.527605,-104.997872,2018-04-28
